seed_id,source_question_id,question,answer,expected_sources,evidence_count,evidence_child_ids,evidence_titles,evidence_source_files,reference_scope,trap_type,style,category,difficulty,approval_status,corpus_version,index_version
CACHE001,QA001,相続税の基礎控除はいくらで計算しますか,基礎控除額は3000万円に600万円×法定相続人の数を加えた金額。課税価格の合計がこれを超えるかで申告要否を検討する。,No.4102,1,8fbbb1ec508ffa8e,No.4102 相続税がかかる場合,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4102_相続税がかかる場合.md,single,none,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE002,QA002,法定相続人の範囲と順位をざっくり教えてください,配偶者は常に相続人となり血族相続人は子や直系尊属や兄弟姉妹の順に扱う。代襲相続や養子の扱いも確認が必要。,No.4132,1,82f9aec89231e574,No.4132 相続人の範囲と法定相続分,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4132_相続人の範囲と法定相続分.md,single,none,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE003,QA003,相続税がかかる財産には何がありますか,現金預貯金土地建物有価証券など本来の相続財産に加え死亡保険金や死亡退職金などのみなし相続財産も対象になり得る。,No.4105,1,7a7a60740564b9ec,No.4105 相続税がかかる財産,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4105_相続税がかかる財産.md,single,none,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE004,QA004,相続税がかからない財産はどんなものですか,墓地仏壇祭具など性質上非課税のものや一定の公益目的財産などがある。死亡保険金等は非課税限度額の確認が必要。,No.4108,1,9f289ec7aa10f3ca,No.4108 相続税がかからない財産,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4108_相続税がかからない財産.md,single,none,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE005,QA005,死亡保険金は相続税の対象になりますか,被相続人が保険料を負担していた死亡保険金はみなし相続財産として相続税の対象になり得る。相続人取得分は500万円×法定相続人の数の非課税枠を確認する。,No.4114,1,6dbdcac94932af79,No.4114 相続税の課税対象になる死亡保険金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4114_相続税の課税対象になる死亡保険金.md,single,similar_terms,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE006,QA006,死亡退職金にも相続税はかかりますか,被相続人の死亡により支給される退職手当金等はみなし相続財産として相続税の対象になり得る。相続人取得分は500万円×法定相続人の数の非課税枠を確認する。,No.4117,1,42f4e51e672f2970,No.4117 相続税の課税対象になる死亡退職金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4117_相続税の課税対象になる死亡退職金.md,single,similar_terms,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE007,QA007,弔慰金は全部相続税の対象ですか,弔慰金等は一定額までは弔慰金として扱われるが実質的に退職手当金等と認められる部分は死亡退職金として相続税の対象になり得る。,No.4120,1,f34b8183ce97dbdd,No.4120 弔慰金を受け取ったときの取扱い,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4120_弔慰金を受け取ったときの取扱い.md,single,similar_terms,formal,相続税,hard,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE008,QA008,年金を受け取る権利を相続した場合は相続税の対象ですか,年金受給権は契約や制度の内容により相続税等の課税対象になり得るため定期金に関する権利として評価や課税関係を確認する。,No.4123,1,0e9dfa6e3b1eea35,No.4123 相続税等の課税対象になる年金受給権,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4123_相続税等の課税対象になる年金受給権.md,single,none,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE009,QA009,小規模宅地等の特例って何を減額する制度ですか,被相続人等の事業用や居住用など一定の宅地等について要件を満たす場合に相続税評価額を一定割合減額する制度。,No.4124,1,c7549513f74fb13e,No.4124 相続した事業の用や居住の用の宅地等の価額の特例（小規模宅地等の特例）,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4124_相続した事業の用や居住の用の宅地等の価額の特例（小規模宅地等の特例）.md,single,none,formal,小規模宅地,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE010,QA010,相続財産から控除できる債務は何ですか,被相続人の債務で相続開始時に現に存在し確実と認められるものなどが債務控除の対象。保証債務などは確実性を確認する。,No.4126,1,eafedea85395a2ab,No.4126 相続財産から控除できる債務,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4126_相続財産から控除できる債務.md,single,none,formal,債務控除,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE011,QA011,葬式費用はどこまで相続財産から引けますか,葬式や埋葬火葬に通常必要な費用は控除対象になり得る。一方で香典返戻費用や墓石仏壇購入費用などは通常控除対象外。,No.4129,1,5e79b6f1544f0447,No.4129 相続財産から控除できる葬式費用,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4129_相続財産から控除できる葬式費用.md,single,similar_terms,formal,債務控除,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE012,QA012,相続税の2割加算は誰にかかりますか,配偶者や一親等の血族など一定の者以外が相続や遺贈で財産を取得した場合に相続税額が2割加算される。孫養子などは個別確認が必要。,No.4157,1,a9bd3089d37d68a3,No.4157 相続税額の2割加算,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4157_相続税額の2割加算.md,single,similar_terms,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE013,QA013,配偶者の税額軽減はどの範囲まで使えますか,配偶者が取得した正味の遺産額が1億6000万円または配偶者の法定相続分相当額のいずれか多い金額までなら原則として配偶者に相続税はかからない。,No.4158,1,5fc59de6d0ad050a,No.4158 配偶者の税額の軽減,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4158_配偶者の税額の軽減.md,single,similar_terms,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE014,QA014,未成年者控除はどんな控除ですか,相続人が一定の未成年者である場合に年齢に応じた金額を相続税額から控除する制度。不足額は扶養義務者の相続税額から控除できる場合がある。,No.4164,1,e5516a30c1a3a1b6,No.4164 未成年者の税額控除,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4164_未成年者の税額控除.md,single,similar_terms,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE015,QA015,障害者控除は未成年者控除と何が違いますか,障害者控除は相続人が一定の障害者である場合に年齢等に応じて相続税額から控除する制度。未成年者控除とは対象者と計算が異なる。,No.4167,1,1f7b8b13def62be9,No.4167 障害者の税額控除,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4167_障害者の税額控除.md,single,similar_terms,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE016,QA016,相次相続控除はどういうときに使いますか,短期間に続けて相続が発生した場合に前回相続で課された相続税の一部を今回の相続税額から控除する制度。,No.4168,1,27390297ab7589f5,No.4168 相次相続控除,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4168_相次相続控除.md,single,similar_terms,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE017,QA017,養子がいると法定相続人の数はどう扱いますか,相続税の計算では法定相続人に含める養子の数に制限がある。実子がいる場合は1人まで実子がいない場合は2人までが原則。,No.4170,1,7ffa07ba63944bc4,No.4170 相続人の中に養子がいるとき,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4170_相続人の中に養子がいるとき.md,single,similar_terms,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE018,QA018,代償分割があった場合の相続税はどう計算しますか,代償財産を支払う人と受け取る人で課税価格の調整が必要。代償財産の額を考慮して各相続人の取得財産を計算する。,No.4173,1,640c79458064f544,No.4173 代償分割が行われた場合の相続税の課税価格の計算,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4173_代償分割が行われた場合の相続税の課税価格の計算.md,single,none,formal,相続税,hard,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE019,QA019,遺言書と違う遺産分割をしたら贈与税になりますか,相続人等の合意により遺言と異なる遺産分割がされた場合は直ちに贈与税とは限らないが事情により課税関係が変わるため根拠確認が必要。,No.4176,1,78a8f9310caefea1,No.4176 遺言書の内容と異なる遺産分割をした場合の相続税と贈与税,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4176_遺言書の内容と異なる遺産分割をした場合の相続税と贈与税.md,single,tax_type_mix,formal,相続税,hard,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE020,QA020,相続税の申告と納付はいつまでですか,相続税の申告と納付は原則として相続の開始があったことを知った日の翌日から10か月以内。,No.4205,1,8919cd225f8060ab,No.4205 相続税の申告と納税,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4205_相続税の申告と納税.md,single,deadline,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE021,QA021,遺産分割が終わっていない場合も相続税申告は必要ですか,未分割でも申告期限までに法定相続分等でいったん申告する必要がある。分割後に更正の請求や修正申告が必要になる場合がある。,No.4208,1,f878b40769641342,No.4208 相続財産が分割されていないときの申告,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4208_相続財産が分割されていないときの申告.md,single,deadline,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE022,QA022,相続税の延納はどんな制度ですか,金銭で一時に納付することが困難で一定要件を満たす場合に担保提供等により年賦で納付できる制度。,No.4211,1,1432452dbd1713c8,No.4211 相続税の延納,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4211_相続税の延納.md,single,similar_terms,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE023,QA023,物納は延納と何が違いますか,物納は金銭納付や延納によっても納付困難な場合に一定の相続財産で納付する制度。延納は金銭を年賦で納める制度。,No.4214,1,36b56691de2313ea,No.4214 相続税の物納,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4214_相続税の物納.md,single,similar_terms,formal,相続税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE024,QA024,相続時精算課税を選ぶと贈与税はどうなりますか,特定贈与者からの贈与について相続時精算課税を選択すると特別控除等を踏まえ贈与税を計算し相続時にその贈与財産を相続税で精算する。,No.4103,1,b8266bb7c156926f,No.4103 相続時精算課税の選択,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4103_相続時精算課税の選択.md,single,similar_terms,formal,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE025,QA025,贈与税がかかるのはどんな場合ですか,個人から財産をもらった場合に贈与税の対象になり得る。暦年課税ではその年に受けた贈与の合計から基礎控除を差し引いて計算する。,No.4402,1,797dfee5c8862547,No.4402 贈与税がかかる場合,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4402_贈与税がかかる場合.md,single,none,formal,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE026,QA026,贈与税がかからない場合にはどんなものがありますか,扶養義務者から生活費や教育費として通常必要な都度の贈与など一定のものは贈与税がかからない場合がある。,No.4405,1,cad1ba15dda95ed3,No.4405 贈与税がかからない場合,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4405_贈与税がかからない場合.md,single,none,formal,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE027,QA027,暦年課税の贈与税はどう計算しますか,1月1日から12月31日までに受けた贈与財産の合計額から基礎控除110万円を差し引き税率を適用して計算する。,No.4408,1,fbee49f766ce5936,No.4408 贈与税の計算と税率（暦年課税）,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4408_贈与税の計算と税率（暦年課税）.md,single,similar_terms,formal,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE028,QA028,同じ年に複数人から贈与を受けたら別々に110万円控除できますか,受贈者ごとにその年に複数の人から受けた贈与を合計して基礎控除110万円を適用する。贈与者ごとに別枠ではない。,No.4410,1,ac3260d1532ce645,No.4410 複数の人から贈与を受けたとき,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4410_複数の人から贈与を受けたとき（暦年課税）.md,single,similar_terms,colloquial,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE029,QA029,親からお金を借りたことにすれば贈与税は避けられますか,実質的な金銭消費貸借として返済期限や利息や返済実績が必要。返済意思や実績がない場合は贈与と認定される可能性がある。,No.4420,1,5cc17207700fc357,No.4420 親から金銭を借りた場合,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4420_親から金銭を借りた場合.md,single,confusable,colloquial,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE030,QA030,安く財産を譲ってもらった場合は贈与税になりますか,著しく低い価額で財産を譲り受けた場合は時価との差額相当の利益が贈与税の対象になり得る。,No.4423,1,26573df808d962ba,No.4423 個人から著しく低い価額で財産を譲り受けたとき,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4423_個人から著しく低い価額で財産を譲り受けたとき.md,single,confusable,formal,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE031,QA031,借金を免除してもらったら贈与税はかかりますか,債務免除等により利益を受けた場合は原則としてその利益が贈与税の対象になり得る。資力喪失など個別事情は確認が必要。,No.4424,1,751aef369b3833b9,No.4424 債務免除等を受けた場合,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4424_債務免除等を受けた場合.md,single,confusable,formal,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE032,QA032,ローン付き不動産を贈与されたらどう課税されますか,負担付贈与では贈与財産の価額と引き受けた債務などを踏まえて贈与税や譲渡所得の課税関係を確認する。,No.4426,1,cbd10976ee9164dd,No.4426 負担付贈与に対する課税,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4426_負担付贈与に対する課税.md,single,confusable,formal,贈与税,hard,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE033,QA033,夫婦間で居住用不動産を贈与した場合の配偶者控除を教えてください,婚姻期間20年以上の配偶者から居住用不動産または取得資金の贈与を受けた場合に一定要件で最高2000万円まで控除できる。,No.4452,1,d1607100d68b34d4,No.4452 夫婦の間で居住用の不動産を贈与したときの配偶者控除,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4452_夫婦の間で居住用の不動産を贈与したときの配偶者控除.md,single,similar_terms,formal,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE034,QA034,贈与税の配偶者控除でいう居住用不動産の範囲はどこまでですか,居住用家屋やその敷地などが対象になり得るが居住の用に供する要件や取得時期を確認する必要がある。,No.4455,1,f8503750e6455149,No.4455 配偶者控除の対象となる居住用不動産の範囲,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4455_配偶者控除の対象となる居住用不動産の範囲.md,single,similar_terms,formal,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE035,QA035,教育資金の一括贈与の非課税はどういう制度ですか,直系尊属から教育資金の一括贈与を受けた場合に一定の限度額と手続の範囲で贈与税が非課税となる制度。,No.4510,1,600c4dde62eea606,No.4510 直系尊属から教育資金の一括贈与を受けた場合の非課税,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4510_直系尊属から教育資金の一括贈与を受けた場合の非課税.md,single,none,formal,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE036,QA036,結婚子育て資金の一括贈与は教育資金と同じですか,別制度であり対象資金や限度額や終了時の課税関係が異なる。直系尊属からの結婚子育て資金贈与について要件確認が必要。,No.4511,1,ea3eb701ecca9a94,No.4511 直系尊属から結婚・子育て資金の一括贈与を受けた場合の非課税,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4511_直系尊属から結婚・子育て資金の一括贈与を受けた場合の非課税.md,single,similar_terms,formal,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE037,QA037,親の土地に子どもが家を建てたら贈与税になりますか,親の土地を無償で使用して子が家を建てる場合は通常使用貸借として借地権相当額の贈与課税は生じない扱いがあるが事情確認が必要。,No.4552,1,8a2d72a31293224c,No.4552 親の土地に子供が家を建てたとき,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4552_親の土地に子供が家を建てたとき.md,single,confusable,colloquial,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE038,QA038,使用貸借の土地を贈与で取得したら何を確認しますか,使用貸借に係る土地を贈与で取得した場合は土地評価や使用貸借関係の扱いを確認する。通常の借地権とは区別する。,No.4553,1,075a0b2baed4e100,No.4553 使用貸借に係る土地を贈与により取得したとき,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4553_使用貸借に係る土地を贈与により取得したとき.md,single,confusable,formal,贈与税,hard,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE039,QA039,親名義の家を子どもが増築したら贈与税はありますか,親名義の建物に子が増築費用を負担した場合は建物価値の帰属により親への贈与などが問題になり得る。持分変更等の確認が必要。,No.4557,1,899f75db5a80020a,No.4557 親名義の建物に子供が増築したとき,data/markdown/nta_taxanswer_asset_tax/02_gift_tax/4557_親名義の建物に子供が増築したとき.md,single,confusable,colloquial,贈与税,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE040,QA040,相続した土地を売ったとき取得費加算の特例は使えますか,相続税を納めた人が相続財産を一定期間内に譲渡した場合に相続税額の一部を取得費に加算できる特例がある。,No.3267,1,19e3b63ef2da10b6,No.3267 相続財産を譲渡した場合の取得費の特例,data/markdown/nta_taxanswer_asset_tax/05_related_income_tax/3267_相続財産を譲渡した場合の取得費の特例.md,single,similar_terms,formal,譲渡所得,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE041,QA041,土地や家屋の相続税評価は何を見ますか,土地は路線価方式または倍率方式などで評価し家屋は固定資産税評価額を基礎に評価する。財産の種類ごとの評価方法を確認する。,No.4602,1,0b226fc4e860d41c,No.4602 土地家屋の評価,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4602_土地家屋の評価.md,single,valuation,formal,財産評価,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
CACHE042,QA042,路線価方式と倍率方式はどう使い分けますか,路線価が定められている地域は路線価方式で評価し路線価のない地域は固定資産税評価額に倍率を乗じる倍率方式を用いる。,財産評価基本通達,1,d8152f516329b3ba,（倍率方式）,data/markdown/nta_zaisan_hyoka_kihon_tsutatsu/02__04_（倍率方式）.md,single,valuation,formal,財産評価,normal,candidate_needs_admin_review,nta_taxanswer_inheritance_gift_v1,bge-m3_chroma_v1
